EditFreq	WN_ef	WN_log	WNN_ef	WNN_log	Cum_WN_ef	Cum_WNN_ef
66	94	1.9731278535996986	60	1.7781512503836436	0.9566104034636381	0.9396059484219113
67	43	1.6334684555795864	20	1.3010299956639813	0.9579594653949928	0.9402334190876577
68	51	1.7075701760979363	21	1.3222192947339193	0.9595595155926461	0.9408922632866914
69	40	1.6020599913279623	24	1.380211241711606	0.9608144569241388	0.941645228085587
70	48	1.6812412373755872	40	1.6020599913279623	0.9623203865219301	0.9429001694170798
71	51	1.7075701760979363	31	1.4913616938342726	0.9639204367195834	0.9438727489489867
72	36	1.5563025007672873	23	1.3617278360175928	0.9650498839179268	0.944594340214595
73	40	1.6020599913279623	16	1.2041199826559248	0.9663048252494196	0.9450963167471921
74	16	1.2041199826559248	12	1.0791812460476249	0.9668068017820167	0.9454727991466398
75	66	1.8195439355418688	34	1.5314789170422551	0.9688774549789797	0.9465394992784087
76	32	1.505149978319906	28	1.4471580313422192	0.9698814080441739	0.9474179582104537
77	35	1.5440680443502757	22	1.3424226808222062	0.9709794817092301	0.9481081759427746
78	33	1.5185139398778875	33	1.5185139398778875	0.9720148083077116	0.9491435025412562
79	37	1.568201724066995	17	1.2304489213782739	0.9731756290393424	0.9496768526071406
80	46	1.662757831681574	31	1.4913616938342726	0.9746188115705591	0.9506494321390475
81	31	1.4913616938342726	27	1.4313637641589874	0.975591391102466	0.9514965175378051
82	23	1.3617278360175928	20	1.3010299956639813	0.9763129823680743	0.9521239882035515
83	41	1.6127838567197355	23	1.3617278360175928	0.9775992972328543	0.9528455794691598
84	25	1.3979400086720377	22	1.3424226808222062	0.9783836355650374	0.9535357972014809
85	36	1.5563025007672873	23	1.3617278360175928	0.9795130827633808	0.9542573884670892
86	25	1.3979400086720377	14	1.146128035678238	0.9802974210955638	0.9546966179331117
87	40	1.6020599913279623	22	1.3424226808222062	0.9815523624270566	0.9553868356654326
88	32	1.505149978319906	24	1.380211241711606	0.9825563154922508	0.9561398004643283
89	14	1.146128035678238	12	1.0791812460476249	0.9829955449582732	0.9565162828637761
90	34	1.5314789170422551	29	1.462397997898956	0.984062245090042	0.9574261153291084
91	23	1.3617278360175928	18	1.255272505103306	0.9847838363556504	0.9579908389282801
92	33	1.5185139398778875	22	1.3424226808222062	0.9858191629541319	0.9586810566606011
93	24	1.380211241711606	21	1.3222192947339193	0.9865721277530275	0.9593399008596348
94	23	1.3617278360175928	14	1.146128035678238	0.9872937190186358	0.9597791303256573
95	19	1.2787536009528289	26	1.414973347970818	0.987889816151095	0.9605948421911276
96	30	1.4771212547196624	15	1.1760912590556813	0.9888310221497145	0.9610654451904374
97	23	1.3617278360175928	21	1.3222192947339193	0.9895526134153229	0.9617242893894711
98	21	1.3222192947339193	21	1.3222192947339193	0.9902114576143566	0.9623831335885047
99	7	0.8450980400142568	13	1.1139433523068367	0.9904310723473677	0.9627909895212399
100	305	2.484299839346786	266	2.424881636631067	1.0	0.9711363493756667
